Volatility 3 Framework 2.27.0
             |   PID | PPID |  ImageFileName |      Offset(V) | Threads | Handles | SessionId | Wow64 |                     CreateTime |                       ExitTime |                                                                                                                                  Audit |                                                                                                                                                                                                                                                          Cmd |                                                                                                    Path
******       |   848 |  740 |    svchost.exe | 0x8c88b19c4580 |      19 |       - |         0 | False | 2018-08-30 13:52:21.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                          C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p |                                                                         C:\WINDOWS\System32\svchost.exe
******       |   988 |  740 |    svchost.exe | 0x8c88b2fdb580 |      11 |       - |         0 | False | 2018-08-30 13:52:21.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                                  C:\WINDOWS\system32\svchost.exe -k RPCSS -p |                                                                         C:\WINDOWS\system32\svchost.exe
******       |  2400 |  740 | VGAuthService. | 0x8c88b3273580 |       2 |       - |         0 | False | 2018-08-30 13:52:24.000000 UTC |                            N/A |                                              \Device\HarddiskVolume2\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe |                                                                                                                                                                                       "C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe" |                                    C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe
******       |  3552 |  740 |    svchost.exe | 0x8c88b3e9b580 |       3 |       - |         0 | False | 2018-08-30 13:52:48.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                               C:\WINDOWS\system32\svchost.exe -k appmodel -p |                                                                         C:\WINDOWS\system32\svchost.exe
******       |   868 |  740 |    svchost.exe | 0x8c88b2f5a580 |      21 |       - |         0 | False | 2018-08-30 13:52:21.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                             C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p |                                                                         C:\WINDOWS\system32\svchost.exe
*******      |  6664 |  868 | backgroundTask | 0x8c88b16b8580 |       0 |       - |         1 | False | 2018-08-30 13:53:51.000000 UTC | 2018-08-30 13:54:40.000000 UTC |                                                                        \Device\HarddiskVolume2\Windows\System32\backgroundTaskHost.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
*******      |     8 |  868 | backgroundTask | 0x8c88b23c5080 |       0 |       - |         1 | False | 2018-08-30 13:53:57.000000 UTC | 2018-08-30 13:56:14.000000 UTC |                                                                        \Device\HarddiskVolume2\Windows\System32\backgroundTaskHost.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
*******      |  8840 |  868 |   WmiPrvSE.exe | 0x8c88b585a580 |       4 |       - |         0 |  True | 2018-08-30 18:31:10.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\SysWOW64\wbem\WmiPrvSE.exe |                                                                                                                                                                                                             C:\WINDOWS\sysWOW64\wbem\wmiprvse.exe -Embedding |                                                                   C:\WINDOWS\sysWOW64\wbem\wmiprvse.exe
*******      |  5132 |  868 | RuntimeBroker. | 0x8c88b149d080 |       2 |       - |         1 | False | 2018-08-30 13:53:48.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\System32\RuntimeBroker.exe |                                                                                                                                                                                                             C:\Windows\System32\RuntimeBroker.exe -Embedding |                                                                   C:\Windows\System32\RuntimeBroker.exe
*******      |  6800 |  868 | backgroundTask | 0x8c88b173a080 |       0 |       - |         1 | False | 2018-08-30 13:53:54.000000 UTC | 2018-08-30 13:56:24.000000 UTC |                                                                        \Device\HarddiskVolume2\Windows\System32\backgroundTaskHost.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
*******      |   660 |  868 | ShellExperienc | 0x8c88aeec6080 |      19 |       - |         1 | False | 2018-08-30 13:53:46.000000 UTC |                            N/A |                                   \Device\HarddiskVolume2\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe |                                                                                                                   "C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca |                         C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
*******      |  7444 |  868 | backgroundTask | 0x8c88aee73580 |       0 |       - |         1 | False | 2018-08-30 13:54:00.000000 UTC | 2018-08-30 13:55:44.000000 UTC |                                                                        \Device\HarddiskVolume2\Windows\System32\backgroundTaskHost.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
*******      |  4384 |  868 | backgroundTask | 0x8c88aee88080 |       0 |       - |         1 | False | 2018-08-30 13:54:07.000000 UTC | 2018-08-30 13:57:44.000000 UTC |                                                                        \Device\HarddiskVolume2\Windows\System32\backgroundTaskHost.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
*******      |  7080 |  868 |      HxTsr.exe | 0x8c88b3700080 |       0 |       - |         1 | False | 2018-08-30 13:53:57.000000 UTC | 2018-08-30 13:55:09.000000 UTC | \Device\HarddiskVolume2\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.10730.20053.0_x64__8wekyb3d8bbwe\HxTsr.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
*******      | 11948 |  868 |   WmiPrvSE.exe | 0x8c88b7832580 |       6 |       - |         0 | False | 2018-09-06 14:03:54.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSE.exe |                                                                                                                                                                                                                        C:\WINDOWS\system32\wbem\wmiprvse.exe |                                                                   C:\WINDOWS\system32\wbem\wmiprvse.exe
*******      |  5808 |  868 |   SearchUI.exe | 0x8c88b1374080 |      34 |       - |         1 | False | 2018-08-30 13:53:47.000000 UTC |                            N/A |                                        \Device\HarddiskVolume2\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe |                                                                                                                  "C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca |                              C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe
*******      |  5556 |  868 | SystemSettings | 0x8c88afc58080 |      26 |       - |         1 | False | 2018-08-30 13:59:59.000000 UTC |                            N/A |                                                               \Device\HarddiskVolume2\Windows\ImmersiveControlPanel\SystemSettings.exe |                                                                                                                                                    "C:\Windows\ImmersiveControlPanel\SystemSettings.exe" -ServerName:microsoft.windows.immersivecontrolpanel |                                                     C:\Windows\ImmersiveControlPanel\SystemSettings.exe
*******      |  7352 |  868 | backgroundTask | 0x8c88b685e580 |       0 |       - |         1 | False | 2018-09-06 18:55:53.000000 UTC | 2018-09-06 18:57:22.000000 UTC |                                                                                                                                      - |                                                                                                                                                                                                                                                            - |                                                                                                       -
*******      |  2876 |  868 |   WmiPrvSE.exe | 0x8c88b14e7580 |      10 |       - |         0 | False | 2018-08-30 13:52:26.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSE.exe |                                                                                                                                                                                                                        C:\WINDOWS\system32\wbem\wmiprvse.exe |                                                                   C:\WINDOWS\system32\wbem\wmiprvse.exe
********     |  8712 | 2876 | powershell.exe | 0x8c88b47b9080 |      11 |       - |         0 | False | 2018-08-30 16:43:36.000000 UTC |                            N/A |                                                         \Device\HarddiskVolume2\Windows\System32\WindowsPowerShell\v1.0\powershell.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
*********    |  5848 | 8712 | powershell.exe | 0x8c88afe2c4c0 |       9 |       - |         0 |  True | 2018-08-30 16:43:42.000000 UTC |                            N/A |                                                         \Device\HarddiskVolume2\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe |                                                                                                                                                               "c:\windows\syswow64\windowspowershell\v1.0\powershell.exe" -Version 5.1 -s -NoLogo -NoProfile |                                               c:\windows\syswow64\windowspowershell\v1.0\powershell.exe
**********   |  2216 | 5848 |   rundll32.exe | 0x8c88b2e3a580 |       0 |       - |         0 |  True | 2018-08-30 22:31:57.000000 UTC | 2018-08-30 22:32:19.000000 UTC |                                                                                  \Device\HarddiskVolume2\Windows\SysWOW64\rundll32.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
**********   |  6572 | 5848 |    conhost.exe | 0x8c88afe0e080 |       1 |       - |         0 | False | 2018-08-30 16:43:42.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\conhost.exe |                                                                                                                                                                                                                      \??\C:\WINDOWS\system32\conhost.exe 0x4 |                                                                         C:\WINDOWS\system32\conhost.exe
**********   |  5452 | 5848 |   rundll32.exe | 0x8c88b2def580 |       0 |       - |         0 | False | 2018-08-30 21:40:18.000000 UTC | 2018-08-30 21:40:23.000000 UTC |                                                                                  \Device\HarddiskVolume2\Windows\System32\rundll32.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
**********   |  4108 | 5848 |   rundll32.exe | 0x8c88b2c19080 |       0 |       - |         0 | False | 2018-08-30 22:45:25.000000 UTC | 2018-08-30 22:45:30.000000 UTC |                                                                                  \Device\HarddiskVolume2\Windows\System32\rundll32.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
**********   |  6768 | 5848 |   rundll32.exe | 0x8c88afb184c0 |       0 |       - |         0 |  True | 2018-08-30 18:31:04.000000 UTC | 2018-08-30 18:31:35.000000 UTC |                                                                                  \Device\HarddiskVolume2\Windows\SysWOW64\rundll32.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
**********   |  5588 | 5848 |   rundll32.exe | 0x8c88b2c42580 |       0 |       - |         0 | False | 2018-08-30 21:40:42.000000 UTC | 2018-08-30 21:40:54.000000 UTC |                                                                                  \Device\HarddiskVolume2\Windows\System32\rundll32.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
**********   |  8148 | 5848 |   rundll32.exe | 0x8c88b1991580 |       0 |       - |         0 |  True | 2018-08-31 00:56:14.000000 UTC | 2018-08-31 00:56:30.000000 UTC |                                                                                  \Device\HarddiskVolume2\Windows\SysWOW64\rundll32.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
**********   |  5948 | 5848 |        cmd.exe | 0x8c88afc7c580 |       1 |       - |         0 |  True | 2018-08-30 22:15:18.000000 UTC |                            N/A |                                                                                       \Device\HarddiskVolume2\Windows\SysWOW64\cmd.exe |                                                                                                                                                                                                 C:\WINDOWS\system32\cmd.exe /C c:\windows\temp\perfmon\p.exe |                                                                             C:\WINDOWS\SysWOW64\cmd.exe
***********  |  3436 | 5948 |    conhost.exe | 0x8c88af412580 |       3 |       - |         0 | False | 2018-08-30 22:15:18.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\conhost.exe |                                                                                                                                                                                                                      \??\C:\WINDOWS\system32\conhost.exe 0x4 |                                                                         C:\WINDOWS\system32\conhost.exe
***********  |  8260 | 5948 |          p.exe | 0x8c88af601580 |       2 |       - |         0 | False | 2018-08-30 22:15:18.000000 UTC |                            N/A |                                                                                     \Device\HarddiskVolume2\Windows\Temp\Perfmon\p.exe |                                                                                                                                                                                                                                c:\windows\temp\perfmon\p.exe |                                                                           c:\windows\temp\perfmon\p.exe
************ |  5768 | 8260 |   rundll32.exe | 0x8c88b7cf4500 |       0 |       - |         0 | False | 2018-09-05 12:01:32.000000 UTC | 2018-09-05 12:01:40.000000 UTC |                                                                                  \Device\HarddiskVolume2\Windows\System32\rundll32.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
************ |  7552 | 8260 |   rundll32.exe | 0x8c88b7b00080 |       0 |       - |         0 | False | 2018-09-06 17:26:32.000000 UTC | 2018-09-06 17:26:35.000000 UTC |                                                                                  \Device\HarddiskVolume2\Windows\System32\rundll32.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
************ |  1424 | 8260 |   rundll32.exe | 0x8c88b745f580 |       0 |       - |         0 | False | 2018-09-06 14:58:41.000000 UTC | 2018-09-06 14:58:45.000000 UTC |                                                                                  \Device\HarddiskVolume2\Windows\System32\rundll32.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
*********    |  1740 | 8712 |    conhost.exe | 0x8c88b12e2080 |       4 |       - |         0 | False | 2018-08-30 16:43:36.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\conhost.exe |                                                                                                                                                                                                                      \??\C:\WINDOWS\system32\conhost.exe 0x4 |                                                                         C:\WINDOWS\system32\conhost.exe
*******      |  9152 |  868 |   iexplore.exe | 0x8c88af498080 |      10 |       - |         1 | False | 2018-08-30 13:54:58.000000 UTC |                            N/A |                                                                   \Device\HarddiskVolume2\Program Files\internet explorer\iexplore.exe |                                                                                                                                                                                   "C:\Program Files\Internet Explorer\iexplore.exe" -startmanager -Embedding |                                                         C:\Program Files\Internet Explorer\iexplore.exe
********     |  8508 | 9152 |   iexplore.exe | 0x8c88af542080 |      17 |       - |         1 |  True | 2018-08-30 13:54:59.000000 UTC |                            N/A |                                                             \Device\HarddiskVolume2\Program Files (x86)\Internet Explorer\iexplore.exe |                                                                                                                                                                  "C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE" SCODEF:9152 CREDAT:9474 /prefetch:2 |                                                   C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE
*******      |  5064 |  868 | ApplicationFra | 0x8c88b39f1580 |       3 |       - |         1 | False | 2018-08-30 13:59:43.000000 UTC |                            N/A |                                                                      \Device\HarddiskVolume2\Windows\System32\ApplicationFrameHost.exe |                                                                                                                                                                                                      C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding |                                                            C:\WINDOWS\system32\ApplicationFrameHost.exe
*******      |  4936 |  868 |   WmiPrvSE.exe | 0x8c88b5d4d580 |      12 |       - |         0 | False | 2018-08-30 18:31:17.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSE.exe |                                                                                                                                                                                                                        C:\WINDOWS\system32\wbem\wmiprvse.exe |                                                                   C:\WINDOWS\system32\wbem\wmiprvse.exe
*******      |  9036 |  868 | WinStore.App.e | 0x8c88b105e4c0 |      33 |       - |         1 | False | 2018-08-30 13:59:43.000000 UTC |                            N/A |           \Device\HarddiskVolume2\Program Files\WindowsApps\Microsoft.WindowsStore_11807.1001.13.0_x64__8wekyb3d8bbwe\WinStore.App.exe |                                                                                           "C:\Program Files\WindowsApps\Microsoft.WindowsStore_11807.1001.13.0_x64__8wekyb3d8bbwe\WinStore.App.exe" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca | C:\Program Files\WindowsApps\Microsoft.WindowsStore_11807.1001.13.0_x64__8wekyb3d8bbwe\WinStore.App.exe
*******      |  6988 |  868 | RuntimeBroker. | 0x8c88af5bb080 |       3 |       - |         1 | False | 2018-08-30 14:00:00.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\System32\RuntimeBroker.exe |                                                                                                                                                                                                             C:\Windows\System32\RuntimeBroker.exe -Embedding |                                                                   C:\Windows\System32\RuntimeBroker.exe
*******      |  7136 |  868 | RuntimeBroker. | 0x8c88b16cc080 |       6 |       - |         1 | False | 2018-08-30 13:53:53.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\System32\RuntimeBroker.exe |                                                                                                                                                                                                             C:\Windows\System32\RuntimeBroker.exe -Embedding |                                                                   C:\Windows\System32\RuntimeBroker.exe
*******      |  3964 |  868 |  SkypeHost.exe | 0x8c88b1aec080 |      11 |       - |         1 | False | 2018-08-30 13:53:57.000000 UTC |                            N/A |                    \Device\HarddiskVolume2\Program Files\WindowsApps\Microsoft.SkypeApp_12.1815.210.0_x64__kzf8qxf38zg5c\SkypeHost.exe |                                                                                                                          "C:\Program Files\WindowsApps\Microsoft.SkypeApp_12.1815.210.0_x64__kzf8qxf38zg5c\SkypeHost.exe" -ServerName:SkypeHost.ServerServer |          C:\Program Files\WindowsApps\Microsoft.SkypeApp_12.1815.210.0_x64__kzf8qxf38zg5c\SkypeHost.exe
*******      |  7656 |  868 | backgroundTask | 0x8c88af65c580 |       0 |       - |         1 | False | 2018-08-30 13:54:01.000000 UTC | 2018-08-30 13:55:44.000000 UTC |                                                                        \Device\HarddiskVolume2\Windows\System32\backgroundTaskHost.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
*******      |  4976 |  868 | SettingSyncHos | 0x8c88b3999080 |       3 |       - |         1 | False | 2018-08-31 07:52:27.000000 UTC |                            N/A |                                                                           \Device\HarddiskVolume2\Windows\System32\SettingSyncHost.exe |                                                                                                                                                                                                           C:\WINDOWS\system32\SettingSyncHost.exe -Embedding |                                                                 C:\WINDOWS\system32\SettingSyncHost.exe
*******      |  5492 |  868 | RuntimeBroker. | 0x8c88af5dc580 |       2 |       - |         1 | False | 2018-08-30 13:55:14.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\System32\RuntimeBroker.exe |                                                                                                                                                                                                             C:\Windows\System32\RuntimeBroker.exe -Embedding |                                                                   C:\Windows\System32\RuntimeBroker.exe
*******      |  4860 |  868 | RuntimeBroker. | 0x8c88afb2c080 |       2 |       - |         1 | False | 2018-08-30 13:59:44.000000 UTC |                            N/A |                                                                             \Device\HarddiskVolume2\Windows\System32\RuntimeBroker.exe |                                                                                                                                                                                                             C:\Windows\System32\RuntimeBroker.exe -Embedding |                                                                   C:\Windows\System32\RuntimeBroker.exe
******       |  1892 |  740 |   mcshield.exe | 0x8c88b4253300 |      36 |       - |         0 | False | 2018-08-30 13:52:51.000000 UTC |                            N/A |                                                      \Device\HarddiskVolume2\Program Files\Common Files\McAfee\SystemCore\mcshield.exe |                                                                                                                                                                                               "C:\Program Files\Common Files\McAfee\SystemCore\mcshield.exe" |                                            C:\Program Files\Common Files\McAfee\SystemCore\mcshield.exe
******       |  2152 |  740 |     armsvc.exe | 0x8c88b29af580 |       2 |       - |         0 |  True | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                      \Device\HarddiskVolume2\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe |                                                                                                                                                                                               "C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe" |                                            C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe
******       |  1388 |  740 |    mfevtps.exe | 0x8c88b211e580 |       3 |       - |         0 | False | 2018-08-30 13:52:26.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\mfevtps.exe |                                                                                                                                                                                                                            "C:\WINDOWS\system32\mfevtps.exe" |                                                                         C:\WINDOWS\system32\mfevtps.exe
******       |  4332 |  740 |      msdtc.exe | 0x8c88b44d8080 |       9 |       - |         0 | False | 2018-08-30 13:52:54.000000 UTC |                            N/A |                                                                                     \Device\HarddiskVolume2\Windows\System32\msdtc.exe |                                                                                                                                                                                                                                C:\WINDOWS\System32\msdtc.exe |                                                                           C:\WINDOWS\System32\msdtc.exe
******       |  1392 |  740 |   vmacthlp.exe | 0x8c88b3023580 |       1 |       - |         0 | False | 2018-08-30 13:52:22.000000 UTC |                            N/A |                                                                 \Device\HarddiskVolume2\Program Files\VMware\VMware Tools\vmacthlp.exe |                                                                                                                                                                                                          "C:\Program Files\VMware\VMware Tools\vmacthlp.exe" |                                                       C:\Program Files\VMware\VMware Tools\vmacthlp.exe
******       |  2416 |  740 |   vmtoolsd.exe | 0x8c88b329b580 |      11 |       - |         0 | False | 2018-08-30 13:52:24.000000 UTC |                            N/A |                                                                 \Device\HarddiskVolume2\Program Files\VMware\VMware Tools\vmtoolsd.exe |                                                                                                                                                                                                          "C:\Program Files\VMware\VMware Tools\vmtoolsd.exe" |                                                       C:\Program Files\VMware\VMware Tools\vmtoolsd.exe
******       |  7792 |  740 |    svchost.exe | 0x8c88af20f580 |       0 |       - |         0 | False | 2018-08-31 01:52:25.000000 UTC | 2018-08-31 01:57:32.000000 UTC |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                                                                            - |                                                                                                       -
******       |  2164 |  740 |    svchost.exe | 0x8c88b29fe580 |      10 |       - |         0 | False | 2018-08-30 13:52:23.000000 UTC |                            N/A |                                                                                   \Device\HarddiskVolume2\Windows\System32\svchost.exe |                                                                                                                                                                                                                 C:\WINDOWS\System32\svchost.exe -k utcsvc -p |                                                                         C:\WINDOWS\System32\svchost.exe
*****        |   772 |  632 |      lsass.exe | 0x8c88b2bb5580 |       9 |       - |         0 | False | 2018-08-30 13:52:21.000000 UTC |                            N/A |                                                                                     \Device\HarddiskVolume2\Windows\System32\lsass.exe |                                                                                                                                                                                                                                C:\WINDOWS\system32\lsass.exe |                                                                           C:\WINDOWS\system32\lsass.exe
